budget,revenue,original_title,homepage,director,runtime,genres,vote_average,release_year
9600000,2541554,Truth,0,James Vanderbilt,121,Drama,6.4,2015
10000000,10835752,Danny Collins,0,Dan Fogelman,107,Comedy|Drama|Music,6.6,2015
15000000,3020664,Rock the Kasbah,1,Barry Levinson,100,Comedy|Music|War,5.1,2015
1000000,14444999,"Hello, My Name Is Doris",1,Michael Showalter,95,Comedy|Drama|Romance,6.6,2015
13000000,1784763,The Vatican Tapes,0,Mark Neveldine,91,Thriller|Horror,4.5,2015
8000000,1411927,99 Homes,0,Ramin Bahrani,112,Drama,6.8,2015
14000000,12314651,Hot Tub Time Machine 2,0,Steve Pink,93,Comedy,5.0,2015
4000000,143101,Manglehorn,0,David Gordon Green,97,Drama,5.0,2015
8000000,35991087,A Walk in the Woods,0,Ken Kwapis,104,Drama|Adventure|Comedy,5.4,2015
3300000,64110728,The Lazarus Effect,1,David Gelb,83,Thriller|Horror,4.9,2015
35000000,14431253,Unfinished Business,0,Ken Scott,90,Comedy,4.9,2015
2000000,45431,Lost River,0,Ryan Gosling,95,Fantasy|Thriller,5.7,2015
100000,42664410,The Gallows,1,Travis Cluff|Chris Lofing,87,Horror|Thriller,5.0,2015
10000000,3334927,By the Sea,0,Angelina Jolie,122,Drama|Romance,5.4,2015
9000000,21571189,Black or White,0,Mike Binder,121,Drama,6.7,2015
13000000,1646788,I Saw the Light,1,Marc Abraham,123,Drama|Music,5.6,2015
5000000,2333684,Jem and the Holograms,1,Jon M. Chu,119,Drama|Music|Adventure|Fantasy,5.7,2015
6000000,90777,Beasts of No Nation,0,Cary Fukunaga,137,Drama|War,7.5,2015
3000000,3387000,Demonic,0,Will Canon,83,Thriller|Horror,5.0,2015
447524,771317,The D Train,0,Andrew Mogel|Jarrad Paul,101,Drama|Comedy,4.2,2015
10000000,17472,Strangerland,0,Kim Farrant,111,Drama|Thriller,5.0,2015
2000000,2801508,Captive,0,Jerry Jameson,97,Crime|Drama|Thriller,5.7,2015
5000000,4842699,90 Minutes in Heaven,0,Michael Polish,121,Drama,5.7,2015
600000,7087452,Grandma,1,Paul Weitz,78,Drama|Comedy,5.6,2015
3000000,67790117,War Room,1,Alex Kendrick,120,Drama,6.9,2015
13500000,187674,Stonewall,1,Roland Emmerich,129,Drama,5.6,2015
165000000,621752480,Interstellar,1,Christopher Nolan,169,Adventure|Drama|Science Fiction,8.0,2014
170000000,773312399,Guardians of the Galaxy,1,James Gunn,121,Action|Science Fiction|Adventure,7.9,2014
170000000,714766572,Captain America: The Winter Soldier,1,Joe Russo|Anthony Russo,136,Action|Adventure|Science Fiction,7.6,2014
20000000,78739897,John Wick,1,Chad Stahelski|David Leitch,101,Action|Thriller,7.0,2014
125000000,752100229,The Hunger Games: Mockingjay - Part 1,1,Francis Lawrence,123,Science Fiction|Adventure|Thriller,6.6,2014
250000000,955119788,The Hobbit: The Battle of the Five Armies,1,Peter Jackson,144,Adventure|Fantasy,7.1,2014
165000000,652105443,Big Hero 6,1,Don Hall|Chris Williams,102,Adventure|Family|Animation|Action|Comedy,7.8,2014
14000000,233555708,The Imitation Game,1,Morten Tyldum,113,History|Drama|Thriller|War,8.0,2014
34000000,348319861,The Maze Runner,1,Wes Ball,113,Action|Mystery|Science Fiction|Thriller,7.0,2014
18000000,103215094,Birdman,0,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,119,Drama|Comedy,7.3,2014
61000000,369330363,Gone Girl,1,David Fincher,145,Mystery|Thriller|Drama,7.9,2014
68000000,211817906,Fury,0,David Ayer,135,War|Drama|Action,7.4,2014
127000000,349424282,Night at the Museum: Secret of the Tomb,0,Shawn Levy,97,Adventure|Comedy|Fantasy|Family,6.1,2014
85000000,288747895,Divergent,1,Neil Burger,139,Action|Science Fiction|Thriller,6.9,2014
250000000,746000000,X-Men: Days of Future Past,1,Bryan Singer,131,Action|Adventure|Fantasy|Science Fiction,7.6,2014
40000000,463360063,Lucy,1,Luc Besson,89,Action|Science Fiction,6.3,2014
125000000,477200000,Teenage Mutant Ninja Turtles,1,Jonathan Liebesman,101,Science Fiction|Action|Adventure|Fantasy|Comedy,5.8,2014
40000000,126069509,Sex Tape,0,Jake Kasdan,97,Comedy,5.3,2014
8500000,38697217,Nightcrawler,1,Dan Gilroy,117,Crime|Drama|Thriller,7.6,2014
210000000,245500000,Transformers: Age of Extinction,1,Michael Bay,165,Science Fiction|Action|Adventure,5.9,2014
30000000,174600318,The Grand Budapest Hotel,0,Wes Anderson,99,Comedy|Drama,7.9,2014
3300000,13993093,Whiplash,1,Damien Chazelle,105,Drama|Music,8.2,2014
170000000,708200000,Dawn of the Planet of the Apes,0,Matt Reeves,130,Science Fiction|Action|Drama|Thriller,7.4,2014
55000000,192330738,The Equalizer,0,Antoine Fuqua,132,Thriller|Action|Crime,7.2,2014
42000000,106645357,Horrible Bosses 2,0,Sean Anders,108,Comedy,6.1,2014
200000000,705717432,The Amazing Spider-Man 2,1,Marc Webb,142,Action|Adventure|Fantasy,6.6,2014
178000000,370541256,Edge of Tomorrow,1,Doug Liman,113,Action|Science Fiction,7.7,2014
44000000,11305175,The Interview,0,Evan Goldberg|Seth Rogen,112,Action|Comedy,6.1,2014
58800000,542307423,American Sniper,1,Clint Eastwood,134,War|Action,7.5,2014
140000000,268031828,Exodus: Gods and Kings,1,Ridley Scott,153,Adventure|Drama|Action,5.6,2014
160000000,529076069,Godzilla,1,Gareth Edwards,123,Action|Science Fiction|Thriller,6.2,2014
180000000,758410378,Maleficent,1,Robert Stromberg,97,Fantasy|Adventure|Action|Family|Romance,7.0,2014
15000000,32556119,The November Man,1,Roger Donaldson,108,Crime|Action|Thriller,6.0,2014
5000000,102529779,Ouija,0,Stiles White,89,Horror,4.9,2014
145000000,609123048,How to Train Your Dragon 2,1,Dean DeBlois,102,Fantasy|Action|Adventure|Animation|Comedy,7.7,2014
2000000,13500000,It Follows,0,David Robert Mitchell,100,Thriller|Horror,6.6,2014
90000000,206172544,The Expendables 3,1,Patrick Hughes,127,Action|Adventure|Thriller,6.2,2014
60000000,469160692,The Lego Movie,1,Phil Lord|Christopher Miller,100,Adventure|Fantasy|Animation|Comedy|Action,7.5,2014
95000000,114178613,Seventh Son,1,Sergey Bodrov,102,Adventure|Fantasy,5.1,2014
15000000,121201940,The Theory of Everything,0,James Marsh,123,Drama|Romance,7.8,2014
17000000,136621271,Let's Be Cops,0,Luke Greenfield,104,Comedy,6.4,2014
70000000,215529201,Dracula Untold,0,Gary Shore,92,Horror|Action|Drama|Fantasy|War,6.1,2014
132000000,373552094,Penguins of Madagascar,0,Simon J. Smith|Eric Darnell,92,Family|Animation|Adventure|Comedy,6.5,2014
50000000,212902372,Into the Woods,1,Rob Marshall,125,Fantasy|Comedy|Music,5.6,2014
110000000,337580051,300: Rise of an Empire,1,Noam Murro,102,Action|War,6.1,2014
25000000,66980456,The Giver,1,Phillip Noyce,94,Drama|Science Fiction,6.3,2014
50000000,188441614,22 Jump Street,1,Phil Lord|Christopher Miller,112,Crime|Comedy|Action,7.0,2014
28000000,53181600,A Walk Among the Tombstones,0,Scott Frank,113,Crime|Drama|Mystery|Thriller,6.2,2014
55000000,259207227,Paddington,1,Paul King,95,Comedy,7.1,2014
7000000,2360281,Cake,1,Daniel Barnz,102,Drama,6.1,2014
11000000,45967935,Chef,1,Jon Favreau,115,Comedy,7.2,2014
9000000,108782847,The Purge: Anarchy,0,James DeMonaco,104,Horror|Thriller,6.6,2014
16000000,19682924,Left Behind,1,Vic Armstrong,110,Thriller|Action|Science Fiction,3.8,2014
4000000,44349000,Boyhood,0,Richard Linklater,164,Drama,7.6,2014
20000000,12007070,A Most Violent Year,1,J.C. Chandor,125,Action|Thriller|Crime|Drama,6.4,2014
100000000,243400000,Hercules,0,Brett Ratner,99,Action|Adventure,5.6,2014
125000000,362637473,Noah,1,Darren Aronofsky,139,Drama|Adventure,5.5,2014
50000000,83719388,The Judge,1,David Dobkin,141,Drama,7.2,2014
40000000,123494610,Blended,0,Frank Coraci,117,Comedy,6.7,2014
18000000,268157400,Neighbors,0,Nicholas Stoller,96,Comedy,6.2,2014
11000000,78874843,If I Stay,0,R.J. Cutler,106,Drama,7.2,2014
45000000,86165646,Step Up All In,1,Trish Sie,112,Romance|Drama|Music,6.7,2014
12000000,305151265,The Fault in Our Stars,0,Josh Boone,125,Romance|Drama,7.8,2014
25000000,153997819,Ride Along,0,Tim Story,99,Action|Comedy,6.1,2014
20000000,11110975,Inherent Vice,1,Paul Thomas Anderson,148,Comedy|Romance|Crime|Drama|Mystery,6.3,2014
60000000,50549107,Jack Ryan: Shadow Recruit,0,Kenneth Branagh,105,Action|Drama|Thriller,5.9,2014
50000000,222809600,Non-Stop,0,Jaume Collet-Serra,106,Action|Thriller|Mystery,6.8,2014
5500000,3000000,Predestination,0,Michael Spierig|Peter Spierig,97,Science Fiction|Thriller,7.2,2014
12600000,18658381,The Drop,0,MichaÃ«l R. Roskam,106,Drama|Crime,6.6,2014
120000000,239379423,RoboCop,1,JosÃ© Padilha,102,Science Fiction|Action,5.7,2014
100000000,103039258,Transcendence,0,Wally Pfister,119,Thriller|Science Fiction|Drama|Mystery,5.9,2014
40000000,196781193,The Other Woman,0,Nick Cassavetes,109,Comedy|Romance,6.2,2014
145000000,272912430,Mr. Peabody & Sherman,0,Rob Minkoff,92,Animation|Adventure|Family,6.8,2014
65000000,39407616,Sin City: A Dame to Kill For,1,Frank Miller|Robert Rodriguez,102,Crime|Thriller,6.2,2014
103000000,500188435,Rio 2,1,Carlos Saldanha,102,Animation|Adventure|Comedy|Family,6.5,2014
40000000,169837010,Dumb and Dumber To,0,Bobby Farrelly|Peter Farrelly,110,Comedy,5.5,2014
70000000,154984035,The Monuments Men,1,George Clooney,118,War|Drama|History|Action,5.7,2014
65000000,163442937,Unbroken,1,Angelina Jolie,137,Drama|War,7.2,2014
20000000,66787908,Selma,0,Ava DuVernay,127,History|Drama,7.5,2014
4900000,3494070,Mommy,0,Xavier Dolan,138,Drama,8.0,2014
15000000,52501541,Wild,1,Jean-Marc VallÃ©e,115,Drama,6.9,2014
130000000,117831631,Pompeii,0,Paul W.S. Anderson,105,Action|Adventure|History|Romance|Drama,5.1,2014
26000000,35926213,The Best of Me,0,Michael Hoffman,117,Drama|Romance,7.2,2014
65000000,133821816,Annie,0,Will Gluck,119,Music|Comedy|Drama|Family,6.1,2014
50000000,97437106,The Book of Life,1,Jorge R. Gutierrez,95,Romance|Animation|Adventure|Comedy|Family,7.3,2014
13000000,54837234,St. Vincent,1,Theodore Melfi,102,Comedy,7.1,2014
66000000,203277636,Need for Speed,0,Scott Waugh,130,Action|Crime|Drama|Thriller,6.2,2014
22000000,88880821,The Hundred-Foot Journey,0,Lasse HallstrÃ¶m,122,Drama,7.2,2014
60000000,108255770,The Boxtrolls,0,Graham Annable|Anthony Stacchi,97,Animation|Comedy|Family|Fantasy,6.6,2014
10000000,28883511,Big Eyes,0,Tim Burton,105,Drama,6.8,2014
18000000,266586800,The Prince,0,Brian A Miller,93,Thriller|Action,4.6,2014
4000000,600896,The Signal,1,William Eubank,95,Thriller|Science Fiction,5.8,2014
50000000,160602194,Into the Storm,0,Steven Quale,89,Action|Thriller,5.7,2014
50000000,151165787,Planes: Fire & Rescue,1,Roberts Gannaway,83,Animation|Comedy|Adventure|Family,5.9,2014
35000000,17508518,Sabotage,0,David Ayer,110,Action|Drama|Thriller|Crime,5.4,2014
13200000,53830415,No Good Deed,1,Sam Miller,84,Thriller,5.8,2014
5000000,41797583,Still Alice,0,Richard Glatzer|Wash Westmoreland,99,Drama,7.5,2014
5000000,40100000,"As Above, So Below",1,John Erick Dowdle,93,Horror|Thriller,6.1,2014
24000000,12096300,Foxcatcher,0,Bennett Miller,134,Drama|Thriller,6.5,2014
20000000,34077920,Endless Love,0,Shana Feste,103,Drama|Romance,6.6,2014
12250000,2295423,The Rover,0,David MichÃ´d,100,Crime|Drama,6.0,2014
24000000,70181428,Think Like a Man Too,0,Tim Story,106,Comedy|Romance,6.2,2014
15000000,9104716,Suite FranÃ§aise,0,Saul Dibb,107,Drama|Romance|War,6.9,2014
15000000,59209,Walk of Shame,0,Steven Brill,95,Comedy,5.7,2014
6500000,255273813,Annabelle,1,John R. Leonetti,99,Horror,5.6,2014
65000000,71154592,"I, Frankenstein",1,Stuart Beattie,92,Horror|Thriller,5.1,2014
8000000,26049082,That Awkward Moment,0,Tom Gormican,94,Comedy|Romance,6.0,2014
27000000,28831145,Draft Day,0,Ivan Reitman,109,Drama,6.5,2014
28000000,68896829,Brick Mansions,0,Camille Delamarre,90,Action|Crime|Drama,5.8,2014
2000000,6676471,The Babadook,1,Jennifer Kent,93,Drama|Thriller|Horror,6.5,2014
20000000,100525432,Tammy,0,Ben Falcone,97,Comedy,5.1,2014
60000000,30800231,Winter's Tale,1,Akiva Goldsman,118,Drama|Fantasy|Mystery|Romance,5.9,2014
5000000,2367161,The Guest,0,Adam Wingard,99,Mystery|Thriller|Action,6.6,2014
22500000,15520023,The Water Diviner,1,Russell Crowe,112,War|Drama,6.8,2014
5000000,6833445,The Green Inferno,0,Eli Roth,100,Horror|Thriller,4.8,2014
28000000,100654149,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1,Miguel Arteta,81,Family|Comedy,6.2,2014
19800000,41296320,This Is Where I Leave You,0,Shawn Levy,103,Drama|Comedy,6.5,2014
16000000,2429989,The Homesman,0,Tommy Lee Jones,122,Western|Drama,6.2,2014
8500000,7500000,Big Game,1,Jalmari Helander,90,Action|Adventure,5.2,2014
40000000,67347013,Jersey Boys,0,Clint Eastwood,134,Music|Drama,6.7,2014
12500000,49002684,About Last Night,0,Steve Pink,100,Comedy|Romance,5.8,2014
25000000,38307627,Million Dollar Arm,1,Craig Gillespie,124,Drama,6.6,2014
5500000,5483299,Wish I Was Here,0,Zach Braff,120,Drama|Comedy,6.3,2014
6700000,1430655,Infinitely Polar Bear,0,Maya Forbes,87,Comedy|Drama,7.0,2014
13300000,5380251,Under the Skin,0,Jonathan Glazer,108,Thriller|Science Fiction|Drama,6.0,2014
6000000,3485127,Veronica Mars,1,Rob Thomas,107,Comedy|Drama|Crime,6.3,2014
22000000,67800064,Son of God,0,Christopher Spencer,138,Drama,5.8,2014
6000000,15071,Barefoot,1,Andrew Fleming,90,Comedy|Drama|Romance,6.5,2014
3500000,5155325,Justice League: War,1,Jay Oliva,79,Animation,7.0,2014
8500000,770706,The Zero Theorem,1,Terry Gilliam,107,Drama|Fantasy|Science Fiction,5.7,2014
15000000,30127963,When the Game Stands Tall,0,Thomas Carter,115,Drama,6.2,2014
2000000,48390,Decoding Annie Parker,1,Steven Bernstein,91,Drama,5.2,2014
200000,17834867,The Quiet Ones,0,John Pogue,98,Horror,5.1,2014
15000000,31554855,A Most Wanted Man,0,Anton Corbijn,121,Thriller,6.3,2014
6500000,13865435,The Pyramid,0,GrÃ©gory Levasseur,89,Horror,4.7,2014
6600000,1554000,Clouds of Sils Maria,0,Olivier Assayas,124,Drama,6.8,2014
